Countries,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-03,Jun-10,Jun-17,Jun-24,Jul-01,Year,Data
ALL,0.008445668,-0.086091379,-0.147605341,-0.645320912,-0.686192502,-0.650648895,-0.648217063,-0.625962365,-0.628979554,-0.560001423,2020,Perc
Spain,-0.037489117,-0.018153027,-0.232086958,-0.940136674,-0.933462361,-0.930528938,-0.938972264,-0.897579846,-0.841163103,-0.753281079,2020,Perc
Hong Kong,-0.096808511,-0.464835237,-0.776048306,-0.935272294,-0.904380593,-0.890077561,-0.903191204,-0.906449893,-0.905755016,-0.907087868,2020,Perc
Germany,-0.085473139,-0.068738459,-0.307230451,-0.929050309,-0.912995443,-0.913618184,-0.887619606,-0.849156483,-0.837676986,-0.762457107,2020,Perc
Singapore,-0.000702292,-0.160781841,-0.430656934,-0.938429725,-0.96599796,-0.960815462,-0.953992597,-0.950159915,-0.950080515,-0.917602996,2020,Perc
Italy,-0.032709125,-0.042005095,-0.480315131,-0.856266528,-0.833057159,-0.913281607,-0.902533359,-0.864352298,-0.841401394,-0.724491688,2020,Perc
France,-0.00809282,0.003808913,-0.152851139,-0.906300964,-0.917374952,-0.914905841,-0.899684543,-0.849600792,-0.833333333,-0.733048038,2020,Perc
UK,-0.037875089,-0.032799023,-0.228143544,-0.923451039,-0.933602217,-0.935631992,-0.932610961,-0.874502409,-0.857685405,-0.852991311,2020,Perc
Australia,-0.034501671,-0.031728847,-0.056702238,-0.826287536,-0.832163733,-0.826204473,-0.815514469,-0.793387332,-0.781615887,-0.764240903,2020,Perc
Sweden,-0.092158448,-0.056140154,-0.227066399,-0.870452879,-0.885902531,-0.861799509,-0.868262269,-0.831574117,-0.791451069,-0.7619948,2020,Perc
UAE,-0.019342604,-0.030334146,-0.231162911,-0.810916273,-0.791232793,-0.819283456,-0.809092524,-0.795885795,-0.793392764,-0.722755312,2020,Perc
South Korea,0.021545516,-0.11559069,-0.494766746,-0.567283788,-0.494834681,-0.46078543,-0.507774983,-0.504961789,-0.505184004,-0.49466273,2020,Perc
USA,0.016624801,0.01249145,-0.021730169,-0.568835673,-0.741734478,-0.717890114,-0.679458657,-0.665924446,-0.651167464,-0.574124361,2020,Perc
India,0.021044095,0.063190386,0.075622286,-0.832762242,-0.566151388,-0.662649743,-0.701511558,-0.680994671,-0.71530743,-0.304408353,2020,Perc
China,0.043075051,-0.550593936,-0.402072802,-0.425960463,-0.28777643,-0.198339798,-0.212239735,-0.179432364,-0.238501018,-0.212088986,2020,Perc
Japan,0.023770007,-0.035256808,-0.165482676,-0.403124012,-0.471460037,-0.478073422,-0.485541592,-0.42603216,-0.409903654,-0.405740578,2020,Perc
ALL," 3,233,935 "," 2,970,596 "," 3,242,173 "," 1,192,568 "," 1,102,828 "," 303,780 "," 310,154 "," 329,345 "," 328,933 "," 383,468 ",2020,Number
Spain," 56,381 "," 58,487 "," 50,941 "," 4,599 "," 4,697 "," 1,450 "," 1,285 "," 2,171 "," 3,425 "," 5,414 ",2020,Number
Hong Kong," 13,584 "," 10,208 "," 3,778 ", 977 , 928 , 411 , 361 , 351 , 357 , 350 ,2020,Number
Germany," 61,437 "," 63,928 "," 51,093 "," 5,376 "," 5,838 "," 1,771 "," 2,302 "," 3,049 "," 3,382 "," 4,915 ",2020,Number
Singapore," 15,652 "," 14,242 "," 9,001 ", 923 , 656 , 148 , 174 , 187 , 186 , 308 ,2020,Number
Italy," 43,028 "," 43,673 "," 25,470 "," 7,990 "," 9,592 "," 1,330 "," 1,512 "," 2,110 "," 2,526 "," 4,458 ",2020,Number
France," 48,046 "," 49,621 "," 46,692 "," 5,688 "," 4,921 "," 1,333 "," 1,590 "," 2,430 "," 2,720 "," 4,429 ",2020,Number
UK," 68,968 "," 72,728 "," 65,611 "," 6,705 "," 6,365 "," 1,542 "," 1,617 "," 2,995 "," 3,410 "," 3,536 ",2020,Number
Australia," 56,332 "," 57,631 "," 61,963 "," 10,355 "," 9,475 "," 2,572 "," 2,754 "," 3,112 "," 3,376 "," 3,758 ",2020,Number
Sweden," 15,722 "," 16,828 "," 15,770 "," 2,297 "," 2,087 ", 619 , 655 , 734 , 927 ," 1,007 ",2020,Number
UAE," 23,271 "," 22,746 "," 18,685 "," 3,925 "," 4,110 "," 1,029 "," 1,075 "," 1,151 "," 1,182 "," 1,618 ",2020,Number
South Korea," 34,754 "," 31,872 "," 20,547 "," 14,795 "," 15,724 "," 4,737 "," 4,305 "," 4,340 "," 4,343 "," 4,450 ",2020,Number
USA," 877,029 "," 888,735 "," 1,116,304 "," 408,780 "," 339,925 "," 69,245 "," 79,676 "," 83,269 "," 86,800 "," 95,667 ",2020,Number
India," 122,123 "," 122,171 "," 127,726 "," 18,156 "," 12,814 "," 9,462 "," 8,432 "," 8,980 "," 8,001 "," 19,487 ",2020,Number
China," 464,522 "," 276,856 "," 315,612 "," 253,621 "," 268,381 "," 87,013 "," 87,814 "," 91,737 "," 86,057 "," 91,872 ",2020,Number
Japan," 90,059 "," 87,093 "," 91,127 "," 54,758 "," 51,257 "," 11,985 "," 11,831 "," 13,207 "," 13,597 "," 13,561 ",2020,Number
Countries,January,February,March,April,May,03-Jun,10-Jun,17-Jun,24-Jun,01-Jul,2020,Number
ALL," 3,206,851 "," 3,250,430 "," 4,126,402 "," 3,362,386 "," 3,364,396 "," 869,555 "," 881,663 "," 880,513 "," 886,563 "," 871,521 ",2019,Number
Spain," 58,577 "," 61,257 "," 82,016 "," 76,825 "," 77,363 "," 20,872 "," 21,056 "," 21,197 "," 21,563 "," 21,944 ",2019,Number
Hong Kong," 15,040 "," 15,143 "," 18,653 "," 15,094 "," 15,079 "," 3,739 "," 3,729 "," 3,752 "," 3,788 "," 3,767 ",2019,Number
Germany," 67,179 "," 69,859 "," 89,598 "," 75,772 "," 76,327 "," 20,502 "," 20,484 "," 20,213 "," 20,835 "," 20,691 ",2019,Number
